Attaching to a433-microservices_item-app_1, a433-microservices_item-db_1
item-app_1  | 
item-db_1   | 2022-11-23T02:08:53.554+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db_1   | 2022-11-23T02:08:53.554+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=5398M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db_1   | 2022-11-23T02:08:54.222+0000 I STORAGE  [initandlisten] WiredTiger message [1669169334:222219][1:0x7f12c2c8ba40], txn-recover: Main recovery loop: starting at 2/6656
item-db_1   | 2022-11-23T02:08:54.306+0000 I STORAGE  [initandlisten] WiredTiger message [1669169334:306421][1:0x7f12c2c8ba40], txn-recover: Recovering log 2 through 3
item-db_1   | 2022-11-23T02:08:54.370+0000 I STORAGE  [initandlisten] WiredTiger message [1669169334:370397][1:0x7f12c2c8ba40], txn-recover: Recovering log 3 through 3
item-db_1   | 2022-11-23T02:08:54.412+0000 I STORAGE  [initandlisten] WiredTiger message [1669169334:412400][1:0x7f12c2c8ba40], txn-recover: Set global recovery timestamp: 0
item-db_1   | 2022-11-23T02:08:54.439+0000 I CONTROL  [initandlisten] 
item-db_1   | 2022-11-23T02:08:54.439+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db_1   | 2022-11-23T02:08:54.439+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db_1   | 2022-11-23T02:08:54.439+0000 I CONTROL  [initandlisten] 
item-db_1   | 2022-11-23T02:08:54.444+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db_1   | 2022-11-23T02:08:54.444+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db_1   | 2022-11-23T02:08:54.444+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db_1   | 2022-11-23T02:08:54.444+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db_1   | 2022-11-23T02:08:54.545+0000 I NETWORK  [listener] connection accepted from 172.20.0.3:38168 #1 (1 connection now open)
item-db_1   | 2022-11-23T02:08:54.553+0000 I NETWORK  [conn1] received client metadata from 172.20.0.3:38168 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.0-48-generic" }, platform: "Node.js v14.21.1, LE, mongodb-core: 2.1.20" }
item-db_1   | 2022-11-23T02:09:19.399+0000 I STORAGE  [conn1] createCollection: accumulator.documents with generated UUID: 0ebefbc0-4ef1-41f1-8326-5945bb4a0ccf
item-db_1   | 2022-11-23T02:09:41.122+0000 I NETWORK  [conn1] end connection 172.20.0.3:38168 (0 connections now open)
item-db_1   | 2022-11-23T02:09:41.394+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
item-db_1   | 2022-11-23T02:09:41.394+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
item-db_1   | 2022-11-23T02:09:41.394+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
item-db_1   | 2022-11-23T02:09:41.394+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
item-db_1   | 2022-11-23T02:09:41.397+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
item-db_1   | 2022-11-23T02:09:41.496+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
item-db_1   | 2022-11-23T02:09:41.497+0000 I CONTROL  [signalProcessingThread] now exiting
item-db_1   | 2022-11-23T02:09:41.497+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
